chr,start,end
1,3631,5899
1,6788,9130
1,11649,13714
1,23121,31227
1,31170,33171
1,33365,37871
1,38444,41017
1,44970,47059
1,47234,49304
1,49909,51210
1,51953,54737
1,57164,59215
1,61905,63811
1,64166,67774
1,69911,72138
1,72339,74096
1,73931,74737
1,75390,76845
1,82984,84946
1,86486,88409
1,88622,90502
1,91342,95681
1,95935,97407
1,97412,99240
1,99865,101987
1,104440,105330
1,108946,111699
1,112263,113947
1,114202,116407
1,116784,118845
1,119381,119997
1,120154,121130
1,121067,130577
1,130736,130858
1,132270,135924
1,136090,138162
1,138489,139680
1,141870,143261
1,143489,146479
1,147043,148014
1,148013,149848
1,150689,152210
1,153113,154198
1,154367,156178
1,156477,158823
1,159628,162953
1,164105,165517
1,166589,168088
1,168559,171386
1,171525,172948
1,175706,178406
1,180017,182749
1,185033,187135
1,187145,190472
1,190408,192436
1,192634,193670
1,195645,198787
1,199527,201775
1,202103,204440
1,204935,207642
1,208995,213082
1,214150,217734
1,218834,221286
1,221642,224351
1,225665,227543
1,228799,230979
1,230908,232630
1,232840,237905
1,239841,242703
1,242713,246054
1,246262,248440
1,249041,252522
1,252626,254530
1,259307,261667
1,262828,266324
1,266333,267883
1,267993,269819
1,269792,270859
1,270797,272189
1,272111,274930
1,275188,276310
1,276266,278599
1,278600,282891
1,282761,284245
1,284350,291203
1,293246,295086
1,295207,295859
1,296001,298334
1,298451,302310
1,303537,304358
1,304133,306310
1,306467,309541
1,310169,313130
1,313101,316090
1,315983,319667
1,319769,322895
1,322886,324917
1,325316,330619
1,330588,337912
1,338241,340088
1,340108,342040
1,342918,344400
1,345516,347603
1,347613,352545
1,352612,355124
1,355124,357258
1,357906,359078
1,359117,360746
1,360918,363142
1,365165,367443
1,366945,367166
1,370195,371090
1,373335,386913
1,387277,389808
1,389812,392816
1,392831,395528
1,395689,400001
1,399983,401919
1,403100,404456
1,404600,408619
1,408622,410680
1,410744,411632
1,411664,413554
1,413522,414649
1,415074,418027
1,418416,422579
1,427548,427811
1,428650,430720
1,434965,436922
1,437860,439559
1,440200,442972
1,443118,446296
1,448423,450426
1,450461,452743
1,453107,455519
1,455688,458164
1,458133,460831
1,461828,461974
1,461946,463618
1,463754,464981
1,465616,467880
1,469818,470693
1,471883,473336
1,474373,476612
1,476945,479112
1,480650,483373
1,486800,489651
1,489874,490627
1,490860,492979
1,493639,495158
