chromosome,start,end,value
1,3631,5899,0.00512
1,6788,9130,0.00333
1,11649,13714,0.01264
1,23121,31227,0.0053
1,31170,33171,0.00769
1,33365,37871,0.00596
1,38444,41017,0.00765
1,44970,47059,0.00686
1,47234,49304,0.01246
1,49909,51210,0.00907
1,51953,54737,0.00703
1,57164,59215,0.00789
1,61905,63811,0.00848
1,64166,67774,0.0079
1,69911,72138,0.01023
1,72339,74096,0.01231
1,73931,74737,0.01024
1,75390,76845,0.00682
1,82984,84946,0.00376
1,86486,88409,0.0074
1,88622,90502,0.00461
1,91342,95681,0.01297
1,95935,97407,0.006
1,97412,99240,0.01178
1,99865,101987,0.00818
1,104440,105330,0.00069
1,108946,111699,0.0063
1,112263,113947,0.00452
1,114202,116407,0.00953
1,116784,118845,0.00429
1,119381,119997,0.00941
1,120154,121130,0.00024
1,121067,130577,0.00071
1,130736,130858,0.00905
1,132270,135924,0.00126
1,136090,138162,0.00173
1,138489,139680,0.01185
1,141870,143261,0.00064
1,143489,146479,0.00446
1,147043,148014,0.01113
1,148013,149848,0.01281
1,150689,152210,0.00931
1,153113,154198,0.00724
1,154367,156178,0.00291
1,156477,158823,0.01194
1,159628,162953,0.0057
1,164105,165517,0.00506
1,166589,168088,0.00219
1,168559,171386,0.00434
1,171525,172948,0.00297
1,175706,178406,0.00525
1,180017,182749,0.01215
1,185033,187135,0.01298
1,187145,190472,0.00834
1,190408,192436,0.00195
1,192634,193670,0.00809
1,195645,198787,0.01174
1,199527,201775,0.00325
1,202103,204440,0.01169
1,204935,207642,0.00382
1,208995,213082,0.00765
1,214150,217734,0.00487
1,218834,221286,0.00237
1,221642,224351,0.00198
1,225665,227543,0.01106
1,228799,230979,0.01134
1,230908,232630,0.00481
1,232840,237905,0.00522
1,239841,242703,0.01039
1,242713,246054,0.00669
1,246262,248440,0.01001
1,249041,252522,0.00339
1,252626,254530,0.01079
1,259307,261667,0.01257
1,262828,266324,0.01273
1,266333,267883,0.00546
1,267993,269819,0.00848
1,269792,270859,0.00755
1,270797,272189,0.00884
1,272111,274930,0.00855
1,275188,276310,0.00023
1,276266,278599,0.00927
1,278600,282891,0.0029
1,282761,284245,0.01197
1,284350,291203,0.00604
1,293246,295086,0.00929
1,295207,295859,0.00185
1,296001,298334,0.00303
1,298451,302310,0.01273
1,303537,304358,0.0033
1,304133,306310,0.00649
1,306467,309541,0.00681
1,310169,313130,0.00838
1,313101,316090,0.00399
1,315983,319667,0.00754
1,319769,322895,0.00147
1,322886,324917,0.0033
1,325316,330619,0.0104
1,330588,337912,0.01058
1,338241,340088,0.01209
1,340108,342040,0.00935
1,342918,344400,0.00964
1,345516,347603,0.00078
1,347613,352545,0.01229
1,352612,355124,0.0127
1,355124,357258,0.00404
1,357906,359078,0.00427
1,359117,360746,0.00737
1,360918,363142,0.00981
1,365165,367443,0.00947
1,366945,367166,0.00703
1,370195,371090,0.00994
1,373335,386913,0.00127
1,387277,389808,0.00678
1,389812,392816,0.00899
1,392831,395528,0.00857
1,395689,400001,0.01007
1,399983,401919,0.00922
1,403100,404456,0.003
1,404600,408619,0.0023
1,408622,410680,0.01238
1,410744,411632,0.0087
1,411664,413554,0.00434
1,413522,414649,0.0111
1,415074,418027,0.0062
1,418416,422579,0.00594
1,427548,427811,0.00631
1,428650,430720,0.01286
1,434965,436922,0.01253
1,437860,439559,0.00863
1,440200,442972,0.00659
1,443118,446296,0.01186
1,448423,450426,0.00343
1,450461,452743,0.00883
1,453107,455519,0.00998
1,455688,458164,0.00742
1,458133,460831,0.00222
1,461828,461974,0.00976
1,461946,463618,0.01255
1,463754,464981,0.001
1,465616,467880,0.00408
1,469818,470693,0.00307
1,471883,473336,0.00872
1,474373,476612,0.00659
1,476945,479112,0.00203
1,480650,483373,0.00839
1,486800,489651,0.01027
1,489874,490627,0.00797
1,490860,492979,0.00146
1,493639,495158,0.00513
1,495050,496332,0.00541
1,496372,497555,0.00033
1,497917,498539,0.00063
1,504463,507268,0.00507
1,511765,513721,0.00721
1,513699,515422,0.01215
1,516569,516866,0.00123
1,518091,520495,0.011
1,520498,521668,0.0129
1,523536,529069,0.00204
1,529679,534677,0.00771
1,534827,535699,0.00664
1,536483,537211,0.00681
1,537740,540127,0.00781
1,541236,542245,0.01138
1,543011,544057,0.01249
1,544733,549202,0.01271
1,552138,552761,0.00158
1,553019,556152,0.00233
1,557092,558774,0.01297
1,560610,562598,0.00075
1,564018,567771,0.00054
1,568558,570554,0.0042
1,571826,575085,0.00303
1,575922,580532,0.0122
1,580625,582310,0.00144
1,584134,587327,0.00956
1,588003,589480,0.00483
1,589584,590406,0.00406
1,589706,589996,0.00105
1,591682,594264,0.00188
1,594502,598657,0.00469
1,599330,602199,0.00285
1,602489,604387,0.0009
1,604873,606708,0.01284
1,607799,609534,0.0053
1,610363,612324,0.00418
1,613197,616231,0.01237
1,618061,620502,0.00362
1,620678,621329,0.01093
1,621453,623054,0.00116
1,623656,624567,0.0061
1,625084,625608,0.00744
1,626639,629993,0.00105
1,630374,633420,0.01227
1,635144,637262,0.00631
1,637214,638681,0.00911
1,642505,644903,0.01177
1,645084,652001,0.006
1,653604,654457,0.01126
1,655568,658216,0.01061
1,658578,659980,0.00084
1,661088,662475,0.00552
1,662963,664290,0.01134
1,665119,666471,0.00504
1,666807,669919,0.00219
1,671661,672814,0.01082
1,673306,676419,0.00482
1,677360,681378,0.00034
1,681331,687385,0.00781
1,687795,692660,0.00306
1,693190,696504,0.00103
1,697919,698591,0.01178
1,701365,703929,0.00546
1,703847,706689,0.00961
1,707485,710041,0.01282
1,710018,711857,0.01091
1,712440,727553,0.00366
1,729830,731565,0.00737
1,731554,738306,0.00919
1,739544,744184,0.01283
1,743885,746701,0.00696
1,747197,748057,0.00711
1,748101,749034,0.0073
1,749246,751976,0.01024
1,752191,753140,0.00495
1,753307,754262,0.0055
1,754261,756303,0.01104
1,756414,758678,0.01256
1,761261,766194,0.00658
1,766336,767324,0.00185
1,768376,770684,0.01062
1,773358,775362,0.01073
1,775527,780062,0.00823
1,780519,782946,0.00818
1,782904,784346,0.01276
1,786832,788722,0.00503
1,789820,791689,0.00151
1,792222,793060,0.01175
1,793315,795403,0.01041
1,795449,798491,0.00564
1,799115,802625,0.00969
1,802970,807066,0.00182
1,807361,813216,0.00732
1,811033,813086,0.00766
1,813413,816812,0.00214
1,816989,817767,0.0095
1,817053,817178,0.00774
1,817934,819563,0.00965
1,819612,821476,0.0034
1,822582,824410,0.00344
1,824517,826399,0.00352
1,826523,830393,0.00942
1,830550,835411,0.00547
1,835767,841373,0.01091
1,841033,842418,0.00794
1,841677,842158,0.01243
1,842659,844251,0.00562
1,844436,847683,0.00946
1,847793,849621,0.0064
1,852151,854297,0.01212
1,854410,859701,0.00272
1,860761,864372,0.0053
1,865895,867733,0.01162
1,868853,871308,5e-05
1,871874,872906,0.0006
1,873166,874476,0.01248
1,876087,877556,0.00262
1,877861,880259,0.00402
1,880384,883599,0.00187
1,883683,885611,0.01167
1,885623,887956,0.00147
1,890155,892492,0.00021
1,894238,897718,0.00522
1,898480,899794,0.01232
1,900732,903070,0.00673
1,904032,907643,0.01274
1,907523,909650,0.00825
1,910023,911292,0.00585
1,911310,913808,0.00445
1,914222,916222,0.00456
1,916772,918064,0.0125
1,918285,920592,0.00967
1,920950,922098,0.00078
1,923390,924730,0.00522
1,924896,926373,0.00107
1,930715,931985,0.0054
1,933426,937152,0.00189
1,937826,941162,0.00418
1,941062,943377,0.01184
1,944572,947682,0.00291
1,947520,951850,0.01053
1,954290,956144,0.00234
1,957104,958383,0.00417
1,958759,959609,0.0101
1,959790,960916,0.00214
1,961684,966790,0.00373
1,967470,970334,0.01177
1,975871,977911,0.00394
1,979307,982002,0.00202
1,982381,983544,0.00593
1,985751,988146,0.01152
1,989198,991020,0.00065
1,991106,993126,0.00767
1,993400,995989,0.01133
1,996076,1000629,0.00314
1,1001116,1004410,0.01066
1,1004688,1008370,0.01119
1,1009228,1011145,0.01073
1,1011151,1013365,0.002
1,1013643,1017957,0.00609
1,1018058,1019247,0.00651
1,1019311,1022108,0.00124
1,1022251,1023719,0.00456
1,1024740,1027616,0.00798
1,1027853,1029119,0.01034
1,1030957,1036264,0.00121
1,1036493,1040262,0.00042
1,1040375,1042892,0.01218
1,1042362,1043887,0.01216
1,1045598,1049864,0.01144
1,1050505,1051194,0.00817
1,1051312,1056827,0.00097
1,1057041,1059454,0.00266
1,1059470,1061209,0.00342
1,1059730,1060348,0.00461
1,1061297,1063809,0.01197
1,1064264,1071080,0.00139
1,1073274,1075568,0.00856
1,1075543,1080630,0.00633
1,1081024,1084431,0.00694
1,1086170,1096510,0.00875
1,1096882,1099901,0.00907
1,1104493,1106241,0.00995
1,1106354,1108725,0.00187
1,1109395,1114155,0.00793
1,1114375,1119739,0.00394
1,1119699,1122786,0.00745
1,1125515,1128788,0.0007
1,1128149,1129689,0.00111
1,1136078,1138663,0.00637
1,1140278,1141564,0.00967
1,1141558,1143130,0.00311
1,1143436,1147091,0.01216
1,1147297,1148533,0.00496
1,1148564,1154667,0.00949
1,1154740,1157813,0.00082
1,1161289,1161982,0.00725
1,1162905,1164861,0.00971
1,1164910,1167135,0.00871
1,1167288,1169034,0.00093
1,1175033,1175768,0.00403
1,1176544,1178488,0.00601
1,1179310,1183704,0.00234
1,1185512,1188696,0.00638
1,1188995,1191458,0.00842
1,1191519,1193884,0.00387
1,1197956,1201579,0.00257
1,1202160,1206009,0.00306
1,1206760,1207939,0.00057
1,1208521,1210026,0.00748
1,1210269,1210622,0.00967
1,1210924,1214841,0.01245
1,1215925,1217471,0.0112
1,1217690,1220899,0.00066
1,1221411,1224539,0.00853
1,1226483,1230947,0.01135
1,1231452,1234032,0.00851
1,1234176,1236206,0.00933
1,1236754,1239199,0.00041
1,1240294,1242157,0.00141
1,1242506,1244244,0.01046
1,1244947,1246059,0.00457
1,1246601,1248876,0.00127
1,1252005,1257893,0.00984
1,1258556,1261470,0.00032
1,1261762,1272588,0.00993
1,1279351,1281618,0.01226
1,1282163,1286619,0.01149
1,1287831,1289820,0.01225
1,1289734,1291112,0.01012
1,1291300,1292024,0.00716
1,1292023,1293398,0.0095
1,1293770,1294263,0.01051
1,1294627,1299023,0.00322
1,1300368,1301773,0.01168
1,1301829,1302758,0.00848
1,1303467,1307973,0.00824
1,1313443,1315823,0.00393
1,1316139,1321000,0.00985
1,1321885,1324840,0.00845
